VPNCode,group_nr,All_Prompts,Prompt_Count,Average_Word_Count,First_Prompt_Word_Count,Total_Word_Count
ZZUFL0505,7.0,"Welche verschiedenen Arten von Nachhaltigkeit gibt es in Unternehmen? || Kannst du mir einen kleinen Absatz schreiben mit den Punkten 1,2,3,5 ,7 in kurz und knapp. Ich möchte in dem Absatz darauf betonen aus der Erzähl Perspektive wie die Firma ""ABC"" mit Nachhaltigkeit in Ihrem Unternehmen vorgeht, || Füge zu dem Absatz hinzu, wie die Mitarbeiter davon profitieren und welche Ziele verfolgt werden mit dem Strategien.  || Zähl die Punkte nicht auf mit ""erstens"", ""zweitens"" sondern füge lieber zwischen den einzelnen Punkten schöne Überleitungen hinzu || Gebe mir einen kurzen Satz mit ""Abschließend kann man sagen...""",5.0,18.4,9.0,92.0
ZZIWA2610,7.0,"Entwickeln Sie eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen. || Die Kommunikationsstrategie sollte diese Zielsetzung berücksichtigen \nDas Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\nDie Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\nDie Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können. || In der Kommunikationsstrategie sollte folgende Fragen ebenfalls berücksichtigt und beantwortet werden:\nWelche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen?",3.0,35.666666666666664,15.0,107.0
ZZAUL2008,2.0,"Ich brauche unterstützung beim Verfassen eines One-Pagers. In diesem soll ein Konzept vorgestellt werden. Dieses Konzept stellt eine denkwürdige Veranstaltung für Führungskräfte vor, um die digitale Transformation zu diskutieren.\n\nWie schreibt man so einen One-Pager und was schreibe ich da rein?\n\nDas hier sind hinweise:\nZielsetzung:\n\n    Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\n\n    Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\n\nDie folgenden Fragen können helfen:\n\n    Wer ist das Zielpublikum?\n\n    Welche Themen wären für die Führungskräfte am relevantesten und interessantesten?\n\n    Welche Art von Erfahrung sollen die Führungskräfte machen?",1.0,112.0,112.0,112.0
ZZNWA1604,1.0,"Ich benötige einen One-Pager zum Thema digitale Transformation. Kannst du mir helfen? || Bitte passe die Präsentation so an, dass sie folgende Zielsetzung umfasst:\n1. Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\n2. Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\n\nFolgende Fragen müssen geklärt werden:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",2.0,44.5,12.0,89.0
ZZAFE1203,8.0,"Verfassen einer einwöchigen Kommunikationsstrategie, die nicht mehr als eine A4 Seite lang sein soll, um in einem großen Unternehmen Nachhaltigkeit als neuen Kernwert der Unternehmensphilosophie einzuführen. || Verfassen einer einwöchigen Kommunikationsstrategie, die nicht mehr als eine A4 Seite lang sein soll, um in einem großen Unternehmen Nachhaltigkeit als neuen Kernwert der Unternehmensphilosophie einzuführen. || Verfassen einer einwöchigen Kommunikationsstrategie, die nicht mehr als eine A4 Seite lang sein soll, um in einem großen Unternehmen Nachhaltigkeit als neuen Kernwert der Unternehmensphilosophie einzuführen. Du bist ein inspirierender und tatkräftiger CEO, der den Mitarbeitern vermitteln möchte, wie wichtig das Engagement des gesamten Unternehmens im Bereich Nachhaltigkeit für sie selber, aber auch für die Stakeholder und Öffentlichkeit ist. Die Mitarbeiter sollen eine positive Erfahrung machen. Die tatsächlichen Veränderungen sollen mit konkreten Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden.",3.0,44.666666666666664,26.0,134.0
ZZEDR2902,2.0,"Du bist ein Angestellter in einem Unternehmen und dein Chef möchte einen One-Pager zum Thema Nachhaltigkeit mit den folgenden Rahmenbedingungen: Zielsetzung:\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\nDie folgenden Fragen können helfen:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?",1.0,85.0,85.0,85.0
ZZASE1301,8.0,"hallo || könntest du mir bitte helfen? || wie kann ich das Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.? || dankeschön :)",4.0,7.25,1.0,29.0
ZZAGE607,7.0,"Guten Tag, ich brauche Hilfe für eine Aufgabe. Ich muss eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen entwickeln. Das ganze darf nur eine Seite lang sein, und muss schriftlich erledigt werden. \nEs muss zum Ausdruck gebracht werden, dass sich das Unternehmen stark für Nachhaltigkeit einsetzt. Die Strategie soll zu einem tieferen Verständnis von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen. Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.\nDas Zielpublikum ist der Vorstand unseres Unternehmens.  || Wow, vielen Dank, ist eine große Hilfe!",2.0,49.0,91.0,98.0
ZZEKI2929,6.0,Please write me  a sample program for digital transformation among industry stakeholders on how AI can transform education make the event captivating ,1.0,22.0,22.0,22.0
ZZAKO1412,5.0,0,0.0,0.0,0.0,0.0
ZZEFO1204,8.0,0,0.0,0.0,0.0,0.0
ZZEAN0306,1.0,"Kannst du für mich ein Konzept für ene denkwürdige eintätige Veranstaltung für Führungskräfte. Das soll auch antworten für die Kommende Fragen. \n\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen? || Das soll auch so sein.\n\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\n\nkannst du nochmal organizieren?",2.0,45.0,41.0,90.0
ZZUWA3006,4.0,Du bist mein Assistent für die Organisation einer einwöchigen Kommunikationsstrategie.  || Die Kommunikationsziele sind Verkauf und Marketing. Zeige eine statistische Ausarbeitung der letzten 6 Monate in Form von Graphiken || Sonntag Aufgabe 9. Die Zielgruppe sind  Stakeholder. Mit welchen Mitteln kann diese Gruppe erreichen. Wie sehen die Interessen aus? || Schritt 5   Effektivität von Kommunikationen. Was ist da am wichtigsten? || 3. Die Botschaft soll eindrucksvoll und prägnant sein und direkt auf das Zielpublikum zugeschschnitten.,5.0,14.2,10.0,71.0
ZZADE1405,8.0,0,0.0,0.0,0.0,0.0
ZZNBI2609,5.0,"Entwickel ein Konzept für eine eintägige Veranstaltung für Führungskräfte um die digitale Transformation zu diskutieren || Die Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.",2.0,16.5,15.0,33.0
ZZDSC0806,3.0,"Hi ChatGPT. Meine Vorgesetzte hat mich spontan gebeten dass ich bei einem Vorstandsmeeting aushelfen soll. Konkret geht es um eine einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen, welche ich auf einer Seite zusammenfassen und erstellen soll. Berücksichtigt werden sollen auch folgende Punkte:\n1. Das Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\n2. Die Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\n3. Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können. || Inwiefern würdest du diesen Plan überarbeiten, wenn du folgende Fragen beachten musst?\nFragen:\nWelche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen? || Kannst du deine Schritte auch hierzu erläutern? ""Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.""",3.0,53.333333333333336,98.0,160.0
ZZUST0208,1.0,"Mir wurde folgende Aufgabe gestellt, was meinst du dazu? || Entwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren. || Erstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.",3.0,22.666666666666668,9.0,68.0
ZZIBO2610,6.0,"Hilf mir dabei einen infomativen sowie unterhaltsamen One-Pager zu verfassen, der Führungskräfte inspirieren und informieren soll, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst. ",1.0,26.0,26.0,26.0
ZZEDH1501,5.0,Schreiben Sie eine 10-seitige Folienpräsentation zum Thema digitale Transformation. Beschreiben Sie die Lösung für Folgendes? Die Zielgruppe sind Mitarbeiter des Unternehmens.\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen? || Beschreiben Sie die 10 Punkte genauer und fügen Sie Bilder oder Blockdiagramme hinzu.,2.0,25.0,37.0,50.0
ZZeKa1405,5.0,"How many words is roughly a one-page article?  || Generate a 500-word text about the impact of AI on business models, suitable for the executive level of a corporation.  || Who are good corporate guest speakers on the newest trends in artificial intelligence?  || Who are good corporate guest speakers on the ethics of artificial intelligence?",4.0,13.25,8.0,53.0
ZZIKO0401,5.0,"Hallo ChatGPT, ich möchte gerne für Führungskräfte eine Veranstaltung vorbereiten, die darüber aufklärt, wie man künstliche Intelligenz, wie dich zum Beispiel, einsetzen kann. Dafür benötige ich ein Konzept. Es soll für eine eintägige Veranstaltung sein und das Thema diskutiert werden. Bitte erstelle mir ein Konzept dafür.",1.0,46.0,46.0,46.0
ZZAKY2105,8.0,0,0.0,0.0,0.0,0.0
ZZAZW0718,8.0,"Ich muss ein Kommunikations one paper erstellen für die Nachhaltigkeit im Unternehmen || Nein zur ökologischen Nachhaltigkeit, dass das Unternehmen einen Kennwert einführt, bitte beachte dass die Zielgruppe Mitarbeiter sind und wie sie diesen Kennwert beeinflussen können",2.0,18.0,12.0,36.0
ZZize1717,1.0,0,0.0,0.0,0.0,0.0
ZZYPE1411,3.0,Kannst du mir eine umfassendes Vorstandsmeeting zum Thema  Kommunikationsstrategie zur Einführung von Nachhaltigkeit für ein gesamtes Unternehmen erstellen? Das Meeting soll eine Woche gehen und die Ziele sind Umsetzung von Nachhaltigkeitsprinzipien und konkrete Maßnahmen und Initativen im Betrieb. Auch ein tiefes Verständnis und die Nachhaltigkeitsstrategie soll allen erklärt werden. Zudem soll das Engagement des Unternehmens zum Thema Nachhaltigkeit klar zum Ausdruck gebracht werden || Kannst du den Plan noch ausführlicher machen? || Kannst du hier noch Zeitangaben zu den Themen schreiben?,3.0,26.333333333333332,63.0,79.0
ZZRDO1608,7.0,"Hilf mir bei der Erstellung einer umfassenden, einwöchigen Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen",1.0,18.0,18.0,18.0
ZZEOT3110,7.0,"Hilf mir beim Erstellen eines Onepagers zu dem Thema: umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen. || Bitte arbeite Unterpunkte zu folgenden Fragen (sollen als Überschrift genutzt werden) ein.Welche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen?\nChatGPT-Support\n\n",2.0,29.0,21.0,58.0
ZZHMU0112,5.0,0,0.0,0.0,0.0,0.0
ZZOHA2303,7.0,"Entwickeln Sie eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\nZielsetzung\nDas Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\nDie Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\nDie Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.\nDie folgenden Fragen können helfen:\nWelche Ziele werden mit der Strategie verfolgt?\nWer ist das Zielpublikum?\nWelche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Mitarbeitenden machen?",1.0,102.0,102.0,102.0
ZZTHA1907,7.0,"Baue mir eine einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert meines Unternehmens || baue eine einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert und achte dabei insbesondere auf die Ziele der Strategie, das Zielpublikum, relevante Themen für Mitarbeitende sowie die Erfahrung, welche Mitarbeitende machen sollen",2.0,22.5,13.0,45.0
ZZAWH2506,2.0,"Hilf mir bei der Erstellung eines Konzept zum Thema ""Digitale Transformation"" für Führungskräfte im Rahmen einer eintägigen Veranstaltung. Du bist dabei ein Mitarbeiter der Chefin eines großen Unternehmens, was sich zunehmend modernen Technelogien öffnen will und ihre Mitarbeiter im Umgang dieser Technelogien wie z.B. ChatGPT fördern möchte. Die Veranstaltung soll informativ und unterhaltsam sein, die Führungskräfte sollen erfahren was digitale Transformation ist und sich miteinander austauschen können. Die FÜhrungskräfte sollen Beispiele bekommen, die sie inspirieren, diesen Wandel an ihre Mitarbeiter weiterzugeben und ihnen Wege aufzuzeigen generative KI gewinnbringend in ihre alltäglichen Tätigkeiten einzubringen. Gib Beispiele über relevante und interessante THemen für Führungskräfte. ",1.0,102.0,102.0,102.0
ZZICO1912,1.0,"Entwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.",1.0,17.0,17.0,17.0
ZZAMA0101,6.0,"Ich habe den Auftrag bekommen bei ein Vorstandsmeeting aushelfen könnte. Entwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.\nHier ist der Email den ich bekommen habe wo die aufgabe steht, damit du mehr informationen hast: ""Bitte lösen Sie die folgende Aufgabe\nEs ist Freitagnachmittag, die Vorgesetzte Ihres Chefs kommt auf Sie zu und fragt Sie, ob sie spontan für ein Vorstandsmeeting aushelfen können.\n\nEntwickeln Sie ein Konzept für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden.\n\nSie haben 12 Minuten Zeit.\n\nZielsetzung:\nErstellen Sie eine Veranstaltung, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte etwas über die digitale Transformation erfahren und sich miteinander austauschen können.\nDie Teilnehmenden sollen inspiriert und darüber informiert werden, wie die neue Technologie der generativen KI ihr Geschäftsmodell beeinflusst.\nDie folgenden Fragen können helfen:\nWer ist das Zielpublikum?\nWelche Themen wären für die Führungskräfte am relevantesten und interessantesten?\nWelche Art von Erfahrung sollen die Führungskräfte machen?""",1.0,163.0,163.0,163.0
ZZESA3011,8.0,"Entwickle einen One-Pager der eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert darstellt. Dabei sollen folgende 3 Ziele deutlich werden: 1. Das Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen. 2. Die Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen. 3. Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können. Berücksichtige auch die folgenden Fragestellungen: Welche Ziele werden mit der Strategie verfolgt? Wer ist das Zielpublikum? Welche Themen wären für die Mitarbeitenden am relevantesten und interessantesten? Welche Art von Erfahrung sollen die Mitarbeitenden machen?\n",1.0,111.0,111.0,111.0
ZZEFR1909,3.0,"Hallo, ich brauche Hilfe für eine einwöchige Kommunikationsstrategie um Nachhaltigkeit als Kernwert in unserem Unternehmen einzuführen. || Kannst du das so verändern das konkrete Maßnahmen in allen Abteilungen und Betrieben umgesetzt werden.",2.0,15.5,16.0,31.0
ZZEES0811,2.0,Hilfe mir beim die neue generative KI nutzenß || Welche Themen wären für die Führungskräfte am relevantesten und interessantesten?\n,2.0,9.0,8.0,18.0
ZZAKI601,4.0,"Bitte definiere das Wort ""Kommunikationsstrategie"" im Umfeld eines mittelständischen Unternehmens. || Bitte setzte die aktuelle Session zurück, um ein neues Thema bearbeiten zu können || Ich möchte eine Kommunikationsstrategie für ein generisches Unternehmen mit dem Namen HEROKU erstellen, zu der Kommunikationsstrategie werde ich dir in der nächsten Eingabe besimmte Rahmenbedingungen nennen. Es ist wichtig zu beachten, dass ich nur beschränkten Wissen über den Aufbau einer solche Strategie besitze. || Die Kommunikationsstrategie die du ausarbeiten sollst muss folgenden Rahmenbedingungen entsprechen: || 1) Die Kommunikationsstrategie ist auf eine Arbeitswoche (5 Tage) festgelegt.\n2) Die Kommunikationsstrategie hat das zentrale Thema: ""Nachhaltigkeit als Kernwert im gesamten Unternehmen"".\n3) Die fertige Wochenübersicht der Kommunikationsstrategie darf nicht länger als eine Din A4 Seite Schriftgröße 11 sein.\n4) Ziel der Kommunikationsstrategie sind: Alle Beschäftigten, Stakeholder sowie die mit dem Unternehmen in Kontakt stehende Öffentlichkeit.\n5) Explizit die Mitarbeiter sollen über das tiefere Verständnis zum Thema Nachhaltigkeit informiert werden.\n6) Alle Prinzipien die mit der Nachhaltigkeit in Kontakt stehen müssen so formuliert sein, dass alle resultierenden Maßnahmen in allen Abteilungen und Betrieben umgesetzt werden können.\n\nSind die Rahmenbedingungen für dich ausreichend? || Danke für deine Hilfe, dies Session kann beendet werden",6.0,30.333333333333332,10.0,182.0
klief99,4.0,"Entwickeln Sie eine umfassende, einwöchige Kommunikationsstrategie zur Einführung von Nachhaltigkeit als Kernwert im gesamten Unternehmen.\n\nDie Aufgabe soll in Form eines schriftlichen One-Pagers gelöst werden. \n Zielsetzung\n\n    Das Engagement des Unternehmens für Nachhaltigkeit gegenüber allen Mitarbeitenden, Stakeholdern und der Öffentlichkeit soll klar zum Ausdruck bringen.\n\n    Die Strategie soll zu einem tieferen Verständnisses von Nachhaltigkeit und ihrer Bedeutung bei den Mitarbeitern beitragen.\n\n    Die Umsetzung der Nachhaltigkeitsprinzipien soll in konkrete Maßnahmen und Initiativen in allen Abteilungen und Betrieben umgesetzt werden können.\n\nDie folgenden Fragen können helfen:\n\n    Welche Ziele werden mit der Strategie verfolgt?\n\n    Wer ist das Zielpublikum?\n\n    Welche Themen wären für die Mitarbeitenden am relevantesten und interessantesten?\n\n    Welche Art von Erfahrung sollen die Mitarbeitenden machen?\n",1.0,111.0,111.0,111.0
